Time,Alpha_Real,Alpha_Imag,Beta_Real,Beta_Imag
0.0,0.9999999999999986,4.531561921136321e-25,7.800393772746309e-14,-6.40844405939867e-28
6.047210816464251e-10,0.9999999999999986,4.400320787793407e-19,7.8003937627389e-14,-4.399845568049095e-22
1.2094421632928501e-09,0.9999999999999986,1.8872090028991475e-18,7.800393679832859e-14,-1.238337103129527e-21
1.814163244939275e-09,0.9999999999999986,6.538202103878499e-18,7.800393247930888e-14,-2.6703321799201527e-21
2.4188843265857002e-09,0.9999999999999986,2.1145037556870587e-17,7.800391271506467e-14,-5.209417146782757e-21
3.023605408232125e-09,0.9999999999999986,6.597341292716897e-17,7.800382749970558e-14,-9.659845828023243e-21
3.62832648987855e-09,0.9999999999999986,2.0041583541701842e-16,7.800347339516116e-14,-1.7370928563108605e-20
4.233047571524975e-09,0.9999999999999986,5.944248606494953e-16,7.800204327986099e-14,-3.0578342468664125e-20
4.8377686531714005e-09,0.9999999999999986,1.722823530428561e-15,7.799641113388185e-14,-5.294026431338422e-20
5.442489734817825e-09,0.9999999999999986,4.880775780874259e-15,7.797475285398383e-14,-9.036763999533972e-20
6.04721081646425e-09,0.9999999999999986,1.3517224381242248e-14,7.789338298274908e-14,-1.522915747885446e-19
6.651931898110675e-09,0.9999999999999986,3.659805893515594e-14,7.759464138103594e-14,-2.535699281632802e-19
7.2566529797571e-09,0.9999999999999986,9.687546368071406e-14,7.652271468750933e-14,-4.1731326575345566e-19
7.861374061403525e-09,0.9999999999999986,2.5070663430188936e-13,7.276354117883012e-14,-6.7901075790109395e-19
8.46609514304995e-09,0.9999999999999986,6.343440400172839e-13,5.987843855556362e-14,-1.0924620800129568e-18
9.070816224696375e-09,0.9999999999999986,1.5692854272549992e-12,1.6710871820516382e-14,-1.738172911876229e-18
9.675537306342801e-09,0.9999999999999986,3.7958469585891915e-12,-1.246422925918994e-13,-2.7350474917657713e-18
1.0280258387989225e-08,0.9999999999999986,8.977542963375461e-12,-5.770553263597346e-13,-4.256405750082177e-18
1.088497946963565e-08,0.9999999999999986,2.0761634525653554e-11,-1.9923578647864752e-12,-6.551552438309881e-18
1.1489700551282076e-08,0.9999999999999986,4.694993223361091e-11,-6.3199953837910795e-12,-9.97431038888355e-18
1.20944216329285e-08,0.9999999999999986,1.0382284187381133e-10,-1.925428129430676e-11,-1.5020068740330262e-17
1.2699142714574925e-08,0.9999999999999986,2.2451823003869457e-10,-5.703986327253278e-11,-2.237296445046664e-17
1.330386379622135e-08,0.9999999999999986,4.748194614950397e-10,-1.6493526137477493e-10,-3.296494510654912e-17
1.3908584877867776e-08,0.9999999999999986,9.820698755409871e-10,-4.660776310203289e-10,-4.8050028221486225e-17
1.45133059595142e-08,0.9999999999999986,1.986613907362842e-09,-1.2876160893927391e-09,-6.930940495799707e-17
1.5118027041160625e-08,0.9999999999999986,3.930642814147614e-09,-3.478192814910277e-09,-9.908137317054884e-17
1.572274812280705e-08,0.9999999999999986,7.60705045868259e-09,-9.186895988576389e-09,-1.4125472935637582e-16
1.6327469204453476e-08,0.9999999999999986,1.440114884354338e-08,-2.3725244299584007e-08,-2.056974305756863e-16
1.69321902860999e-08,0.9999999999999986,2.6670659954055145e-08,-5.989963805029337e-08,-3.305593460705313e-16
1.7536911367746324e-08,0.9999999999999986,4.8323255620557375e-08,-1.478099252766252e-07,-6.899124656079551e-16
1.814163244939275e-08,0.9999999999999986,8.566374280084878e-08,-3.563395839674533e-07,-2.087150951323318e-15
1.8746353531039175e-08,0.9999999999999986,1.4859078565465956e-07,-8.386846260857044e-07,-8.104715441398032e-15
1.9351074612685602e-08,0.9999999999999986,2.52219955525359e-07,-1.9249397390540532e-06,-3.4028106206654535e-14
1.9955795694332026e-08,0.999999999891066,4.1898848119867297e-07,-4.300929261837413e-06,-1.4221990613265094e-13
2.056051677597845e-08,0.9999999996061604,6.812493856564563e-07,-9.330429878590948e-06,-5.761720946335409e-13
2.1165237857624877e-08,0.9999999988335826,1.0842822256252873e-06,-1.9579153713234405e-05,-2.2457679338687373e-12
